"","ENSG00000204231","ENSG00000124104","ENSG00000126218","ENSG00000008517","ENSG00000198355","ENSG00000115226","ENSG00000215218","ENSG00000174938","ENSG00000100362"
"1","positive regulation of vitamin D receptor signaling pathway",NA,"positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",NA,"negative regulation of insulin secretion involved in cellular response to glucose stimulus","negative regulation of inflammatory response","protein polyubiquitination","regulation of protein kinase C signaling","excitatory chemical synaptic transmission"
"2","regulation of vitamin D receptor signaling pathway",NA,"blood coagulation",NA,"negative regulation of insulin secretion","response to transforming growth factor beta",NA,"synapse maturation",NA
"3","vitamin D receptor signaling pathway",NA,"coagulation",NA,"negative regulation of peptide hormone secretion","negative regulation of defense response",NA,"protein kinase C signaling",NA
"4","cellular response to vitamin D",NA,"hemostasis",NA,"negative regulation of peptide secretion",NA,NA,"developmental maturation",NA
"5","regulation of response to extracellular stimulus",NA,"regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",NA,"regulation of insulin secretion involved in cellular response to glucose stimulus",NA,NA,NA,NA
"6","regulation of response to nutrient levels",NA,"phosphatidylinositol 3-kinase/protein kinase B signal transduction",NA,"negative regulation of hormone secretion",NA,NA,NA,NA
"7","cellular response to vitamin",NA,"regulation of body fluid levels",NA,"insulin secretion involved in cellular response to glucose stimulus",NA,NA,NA,NA
"8","retinoic acid receptor signaling pathway",NA,"wound healing",NA,"negative regulation of protein secretion",NA,NA,NA,NA
"9","response to vitamin D",NA,NA,NA,"negative regulation of protein transport",NA,NA,NA,NA
"10","positive regulation of bone mineralization",NA,NA,NA,"negative regulation of establishment of protein localization",NA,NA,NA,NA
"11","cellular response to nutrient",NA,NA,NA,"cellular response to glucose stimulus",NA,NA,NA,NA
"12","mRNA transcription by RNA polymerase II",NA,NA,NA,"cellular response to hexose stimulus",NA,NA,NA,NA
"13","mRNA transcription",NA,NA,NA,"cellular response to monosaccharide stimulus",NA,NA,NA,NA
"14","positive regulation of ossification",NA,NA,NA,"cellular response to carbohydrate stimulus",NA,NA,NA,NA
"15","positive regulation of biomineral tissue development",NA,NA,NA,"intracellular glucose homeostasis",NA,NA,NA,NA
"16","response to vitamin",NA,NA,NA,"negative regulation of secretion by cell",NA,NA,NA,NA
"17","regulation of bone mineralization",NA,NA,NA,"regulation of insulin secretion",NA,NA,NA,NA
"18","regulation of biomineral tissue development",NA,NA,NA,"negative regulation of secretion",NA,NA,NA,NA
"19","response to retinoic acid",NA,NA,NA,"response to glucose",NA,NA,NA,NA
"20","regulation of ossification",NA,NA,NA,"protein autophosphorylation",NA,NA,NA,NA
"21","bone mineralization",NA,NA,NA,"response to hexose",NA,NA,NA,NA
"22","steroid hormone mediated signaling pathway",NA,NA,NA,"insulin secretion",NA,NA,NA,NA
"23","response to nutrient",NA,NA,NA,"regulation of peptide hormone secretion",NA,NA,NA,NA
"24","biomineral tissue development",NA,NA,NA,"response to monosaccharide",NA,NA,NA,NA
"25","hormone-mediated signaling pathway",NA,NA,NA,"regulation of peptide secretion",NA,NA,NA,NA
"26","cellular response to steroid hormone stimulus",NA,NA,NA,"regulation of peptide transport",NA,NA,NA,NA
"27","cellular response to nutrient levels",NA,NA,NA,"negative regulation of protein localization",NA,NA,NA,NA
"28","cellular response to extracellular stimulus",NA,NA,NA,"response to carbohydrate",NA,NA,NA,NA
"29","response to steroid hormone",NA,NA,NA,"glucose homeostasis",NA,NA,NA,NA
"30","cellular response to external stimulus",NA,NA,NA,"carbohydrate homeostasis",NA,NA,NA,NA
"31","intracellular receptor signaling pathway",NA,NA,NA,"peptide hormone secretion",NA,NA,NA,NA
"32","ossification",NA,NA,NA,"peptide secretion",NA,NA,NA,NA
"33",NA,NA,NA,NA,"regulation of hormone secretion",NA,NA,NA,NA
"34",NA,NA,NA,NA,"regulation of protein secretion",NA,NA,NA,NA
"35",NA,NA,NA,NA,"peptide transport",NA,NA,NA,NA
"36",NA,NA,NA,NA,"hormone secretion",NA,NA,NA,NA
"37",NA,NA,NA,NA,"hormone transport",NA,NA,NA,NA
"38",NA,NA,NA,NA,"protein secretion",NA,NA,NA,NA
"39",NA,NA,NA,NA,"establishment of protein localization to extracellular region",NA,NA,NA,NA
"40",NA,NA,NA,NA,"amide transport",NA,NA,NA,NA
"41",NA,NA,NA,NA,"protein localization to extracellular region",NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA
